name,path
GC21507 2021 Drainage Swal Rehabilitation - Acoma Drive & Jamie Court,R:\Engineering\GC Projects\GC21507 2021 Drainage Swal Rehabilitation - Acoma Drive & Jamie Court
GC21622 Schweitzer CLT House Micropiles,R:\Engineering\GC Projects\GC21622 Schweitzer CLT House Micropiles
GC05152 Laundry & Shop Building - Blackwell Island - Piles,R:\Engineering\GC Projects\2005 GC Jobs\GC05152 Laundry & Shop Building - Blackwell Island - Piles
GC17324 IO3 shoring,R:\Engineering\GC Projects\2005 GC Jobs\GC17324 IO3 shoring
GC17324A1 I03 additional shoring on west side,R:\Engineering\GC Projects\2005 GC Jobs\GC17324 IO3 shoring\GC17324A1 I03 additional shoring on west side
GC06081 scans Denny restaurant foundation,R:\Engineering\GC Projects\2006 GC Jobs\GC06081 scans Denny restaurant foundation
GC06202 scans piles for paras,R:\Engineering\GC Projects\2006 GC Jobs\GC06202 scans piles for paras
GC06254 13711 North Rustic Lane Rockery Repair,R:\Engineering\GC Projects\2006 GC Jobs\GC06254 13711 North Rustic Lane Rockery Repair
GC06354 Jannusch SFR Underpinning,R:\Engineering\GC Projects\2006 GC Jobs\GC06354 Jannusch SFR Underpinning
GC06357 Triumph Facility,R:\Engineering\GC Projects\2006 GC Jobs\GC06357 Triumph Facility
GC06382 Clear Lake Dam Core Trench,R:\Engineering\GC Projects\2006 GC Jobs\GC06382 Clear Lake Dam Core Trench
GC06429 WSU Nursing Building,R:\Engineering\GC Projects\2006 GC Jobs\GC06429 WSU Nursing Building
GC06254 North rustic lane Rockery repair,R:\Engineering\GC Projects\2006 GC Jobs\GC06254 13711 North Rustic Lane Rockery Repair\GC06254 North rustic lane Rockery repair
GC07067 Drainage Swale Rehabilitation,R:\Engineering\GC Projects\2007 GC Jobs\GC07067 Drainage Swale Rehabilitation
GC07068 Tankersley Residence Shoring Wall,R:\Engineering\GC Projects\2007 GC Jobs\GC07068 Tankersley Residence Shoring Wall
GC07112 FAFB Water Survival Crane,R:\Engineering\GC Projects\2007 GC Jobs\GC07112 FAFB Water Survival Crane
GC07193 Budinger Office Building,R:\Engineering\GC Projects\2007 GC Jobs\GC07193 Budinger Office Building
GC07326 Moving Budinger,R:\Engineering\GC Projects\2007 GC Jobs\GC07326 Moving Budinger
GC07349 National Storage,R:\Engineering\GC Projects\2007 GC Jobs\GC07349 National Storage
GC08003 8-Unit Apartments,R:\Engineering\GC Projects\2008 GC Jobs\GC08003 8-Unit Apartments
GC08195 Upper Wheeler Reservoir Northern Saddle Dam Repairs,R:\Engineering\GC Projects\2008 GC Jobs\GC08195 Upper Wheeler Reservoir Northern Saddle Dam Repairs
GC08272 McHenry Residence,R:\Engineering\GC Projects\2008 GC Jobs\GC08272 McHenry Residence
GC08332 Deer Park High School,R:\Engineering\GC Projects\2008 GC Jobs\GC08332 Deer Park High School
GC08379 Kemp Residence Garage Repair,R:\Engineering\GC Projects\2008 GC Jobs\GC08379 Kemp Residence Garage Repair
GC08003 Pictures,R:\Engineering\GC Projects\2008 GC Jobs\GC08003 8-Unit Apartments\GC08003 Pictures
GC08003 scans,R:\Engineering\GC Projects\2008 GC Jobs\GC08003 8-Unit Apartments\GC08003 scans
GC08272 scans McHenry residence,R:\Engineering\GC Projects\2008 GC Jobs\GC08272 McHenry Residence\GC08272 scans McHenry residence
GC08332 Photos,R:\Engineering\GC Projects\2008 GC Jobs\GC08332 Deer Park High School\GC08332 Photos
GC08332 scans Deer park High School,R:\Engineering\GC Projects\2008 GC Jobs\GC08332 Deer Park High School\GC08332 scans Deer park High School
GC08379 scans Kemp Residence Garage repair,R:\Engineering\GC Projects\2008 GC Jobs\GC08379 Kemp Residence Garage Repair\GC08379 scans Kemp Residence Garage repair
GC09016 Eagle Rock Apartments Rock Removal,R:\Engineering\GC Projects\2009 GC Jobs\GC09016 Eagle Rock Apartments Rock Removal
GC09109 Windy Bay DePell Slinde Remediation Initial Phase,R:\Engineering\GC Projects\2009 GC Jobs\GC09109 Windy Bay DePell Slinde Remediation Initial Phase
GC09141 Coufal Residence Deck,R:\Engineering\GC Projects\2009 GC Jobs\GC09141 Coufal Residence Deck
GC09225 Vallies Cabin,R:\Engineering\GC Projects\2009 GC Jobs\GC09225 Vallies Cabin
GC09232 Plaza Grain Facility Micropiles,R:\Engineering\GC Projects\2009 GC Jobs\GC09232 Plaza Grain Facility Micropiles
GC09244 Battson Residence,R:\Engineering\GC Projects\2009 GC Jobs\GC09244 Battson Residence
GC09335 Northwest Center Building Improvements,R:\Engineering\GC Projects\2009 GC Jobs\GC09335 Northwest Center Building Improvements
GC09360 Sunshine Disposal Mircopiles,R:\Engineering\GC Projects\2009 GC Jobs\GC09360 Sunshine Disposal Mircopiles
GC09109 scans Windy Bay DePell slide remediation,R:\Engineering\GC Projects\2009 GC Jobs\GC09109 Windy Bay DePell Slinde Remediation Initial Phase\GC09109 scans Windy Bay DePell slide remediation
GC09141 scans Coufal Residence deck,R:\Engineering\GC Projects\2009 GC Jobs\GC09141 Coufal Residence Deck\GC09141 scans Coufal Residence deck
GC09225 Photos,R:\Engineering\GC Projects\2009 GC Jobs\GC09225 Vallies Cabin\GC09225 Photos
GC09225 scans Vallies Cabin,R:\Engineering\GC Projects\2009 GC Jobs\GC09225 Vallies Cabin\GC09225 scans Vallies Cabin
GC09244 scans Battson Residence,R:\Engineering\GC Projects\2009 GC Jobs\GC09244 Battson Residence\GC09244 scans Battson Residence
GC09360 scans Sunshine Disposal Micropiles,R:\Engineering\GC Projects\2009 GC Jobs\GC09360 Sunshine Disposal Mircopiles\GC09360 scans Sunshine Disposal Micropiles
GC10027 Spokane County Information Systems Building Upgrades,R:\Engineering\GC Projects\2010 GC Jobs\GC10027 Spokane County Information Systems Building Upgrades
GC10042 NOVA,R:\Engineering\GC Projects\2010 GC Jobs\GC10042 NOVA
GC10043 Digital Imaging & Scanning,R:\Engineering\GC Projects\2010 GC Jobs\GC10043 Digital Imaging & Scanning
GC10050 Newport Industrial Park,R:\Engineering\GC Projects\2010 GC Jobs\GC10050 Newport Industrial Park
GC10130 Plaza Grain Bin Micro Piles,R:\Engineering\GC Projects\2010 GC Jobs\GC10130 Plaza Grain Bin Micro Piles
GC10174 12252 Newman Lake Drive Micropiles,R:\Engineering\GC Projects\2010 GC Jobs\GC10174 12252 Newman Lake Drive Micropiles
GC10241 Cannon Hill Park Stormwater & Pond Improvements,R:\Engineering\GC Projects\2010 GC Jobs\GC10241 Cannon Hill Park Stormwater & Pond Improvements
GC10302 Brooks Memorial State Park Wellhead Improvements,R:\Engineering\GC Projects\2010 GC Jobs\GC10302 Brooks Memorial State Park Wellhead Improvements
GC10340 Dept. of Natural Resources - Solicitation No. 30,R:\Engineering\GC Projects\2010 GC Jobs\GC10340 Dept. of Natural Resources - Solicitation No. 30
GC10364 Poly Tank Repair,R:\Engineering\GC Projects\2010 GC Jobs\GC10364 Poly Tank Repair
GC10383 SJS Building Maintenance & Snow Removal,R:\Engineering\GC Projects\2010 GC Jobs\GC10383 SJS Building Maintenance & Snow Removal
GC10500 Heartland Senior Center,R:\Engineering\GC Projects\2010 GC Jobs\GC10500 Heartland Senior Center
GC10130 scans Plazqa Grain Bin piles,R:\Engineering\GC Projects\2010 GC Jobs\GC10130 Plaza Grain Bin Micro Piles\GC10130 scans Plazqa Grain Bin piles
GC Projects,R:\Engineering\GC Projects\2011 GC jobs\GC Projects
GC11328 scans,R:\Engineering\GC Projects\2011 GC jobs\GC11328 scans
GC-11509 Kaiser Soaking Pit Number 44,R:\Engineering\GC Projects\2011 GC jobs\GC Projects\2011 GC Jobs\GC-11509 Kaiser Soaking Pit Number 44
GC jobs not awarded or delayed,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed
GC-12072 Priest Rapids Dam Water System Improvements,R:\Engineering\GC Projects\2012 GC Jobs\GC-12072 Priest Rapids Dam Water System Improvements
GC-12119 City of Moscow Intermodal Transit Center,R:\Engineering\GC Projects\2012 GC Jobs\GC-12119 City of Moscow Intermodal Transit Center
GC-12189 XIFA Indoor Soccer Facility,R:\Engineering\GC Projects\2012 GC Jobs\GC-12189 XIFA Indoor Soccer Facility
"GC-12220 Water Supply Well, Hunters Water District","R:\Engineering\GC Projects\2012 GC Jobs\GC-12220 Water Supply Well, Hunters Water District"
GC-12245 Micropiles for Waste Water Reuse,R:\Engineering\GC Projects\2012 GC Jobs\GC-12245 Micropiles for Waste Water Reuse
GC-12249 Bonner Port Building,R:\Engineering\GC Projects\2012 GC Jobs\GC-12249 Bonner Port Building
GC-12279 Siemens Micropile Project,R:\Engineering\GC Projects\2012 GC Jobs\GC-12279 Siemens Micropile Project
GC-12308 Spokane Beach Clean Up,R:\Engineering\GC Projects\2012 GC Jobs\GC-12308 Spokane Beach Clean Up
GC-12326 Sprague Lake Rest Area Well Replacement,R:\Engineering\GC Projects\2012 GC Jobs\GC-12326 Sprague Lake Rest Area Well Replacement
GC-12510 ODowd Parking Driftwood Bay,R:\Engineering\GC Projects\2012 GC Jobs\GC-12510 ODowd Parking Driftwood Bay
GC-12521 Fairbridge Inn Express,R:\Engineering\GC Projects\2012 GC Jobs\GC-12521 Fairbridge Inn Express
GC12096 Port of Wilma,R:\Engineering\GC Projects\2012 GC Jobs\GC12096 Port of Wilma
GC12310 Graham Cabin,R:\Engineering\GC Projects\2012 GC Jobs\GC12310 Graham Cabin
GC12370 Abandoned Mine Safety Closure,R:\Engineering\GC Projects\2012 GC Jobs\GC12370 Abandoned Mine Safety Closure
GC12576 Van Noy Pin Piles and Micropiles (also see F12576),R:\Engineering\GC Projects\2012 GC Jobs\GC12576 Van Noy Pin Piles and Micropiles (also see F12576)
GC-11238 Kaniksu Sands Boathouse Micropiles,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11238 Kaniksu Sands Boathouse Micropiles
GC-11262 Pomeroy School Helical Piers,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11262 Pomeroy School Helical Piers
GC-11271 Upper Falls HED Rock Anchors,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11271 Upper Falls HED Rock Anchors
GC-11280 Goose Creek Fish Barrier,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11280 Goose Creek Fish Barrier
GC-11301 Miles Creston Road at Hawk Creek Slide Drilling Rental,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11301 Miles Creston Road at Hawk Creek Slide Drilling Rental
GC-11318 Whitworth College Shoring Wall Anchors,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11318 Whitworth College Shoring Wall Anchors
GC-11328 Spokane Tribe Wells and Pumps,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11328 Spokane Tribe Wells and Pumps
GC-11335 Okanogan Well Replacement,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11335 Okanogan Well Replacement
GC-11389 SCL Boundary Project - Phase I Well Decommisioning,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11389 SCL Boundary Project - Phase I Well Decommisioning
GC-11409 CDA Resort Trash Enclousre,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11409 CDA Resort Trash Enclousre
GC-11509 Kaiser Soaking Pit Number 44,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11509 Kaiser Soaking Pit Number 44
GC11013 Benewah Shoring,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11013 Benewah Shoring
GC11015 Benewah Community Hospital - Micropile,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11015 Benewah Community Hospital - Micropile
GC11027 Medical Lake Middle School,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11027 Medical Lake Middle School
GC11077 Benewah Community Hospital - Micropile Change orders,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11077 Benewah Community Hospital - Micropile Change orders
GC11090 Benewah Community Hospital - Shoring Change Order,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11090 Benewah Community Hospital - Shoring Change Order
GC11181 Pearrygin Lake State Park,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11181 Pearrygin Lake State Park
GC11223 WA Corn Processors Grain Bin - Micropiles,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11223 WA Corn Processors Grain Bin - Micropiles
GC11238 Kaniksu Sands Boathouse Micropiles,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11238 Kaniksu Sands Boathouse Micropiles
GC11355 Holiday Inn Express,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11355 Holiday Inn Express
GC11369 RPWRF Primary Clarifier Secondary Effluent Yard Piping Plan Secant Wall,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11369 RPWRF Primary Clarifier Secondary Effluent Yard Piping Plan Secant Wall
GC11386 Hagadone Pool,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11386 Hagadone Pool
GC 11509  Field Notes,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11509 Kaiser Soaking Pit Number 44\GC 11509  Field Notes
GC11509 Daily Drilling Reports,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11509 Kaiser Soaking Pit Number 44\GC11509 Daily Drilling Reports
GC11509 Photos,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC-11509 Kaiser Soaking Pit Number 44\GC11509 Photos
GC11369 RPWRF  Mortar Cubes Compressive Strength,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11369 RPWRF Primary Clarifier Secondary Effluent Yard Piping Plan Secant Wall\GC11369 RPWRF  Mortar Cubes Compressive Strength
GC11386 Hagadone Pool Invoices,R:\Engineering\GC Projects\2012 GC Jobs\2011 GC Jobs\GC11386 Hagadone Pool\GC11386 Hagadone Pool Invoices
GC-12172 Tiger@Creek Micropiles,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC-12172 Tiger@Creek Micropiles
GC-12333 Lower Granite Fish Barge Mooring - Soil & Rock Anchors,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC-12333 Lower Granite Fish Barge Mooring - Soil & Rock Anchors
GC-12373 Glacier National Park,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC-12373 Glacier National Park
GC-12543 Burma Road ITD,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC-12543 Burma Road ITD
GC-12553 WSU Martin Stadium Football Operations Facility Shoring,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC-12553 WSU Martin Stadium Football Operations Facility Shoring
GC12211 Alabany Crown Castle 94.4-foot Monopole Tower,R:\Engineering\GC Projects\2012 GC Jobs\GC jobs not awarded or delayed\GC12211 Alabany Crown Castle 94.4-foot Monopole Tower
GC Port of Wilma,R:\Engineering\GC Projects\2012 GC Jobs\GC12096 Port of Wilma\GC Port of Wilma
GC-13123 Kaiser Casting Soil Nails and Micropiles,R:\Engineering\GC Projects\2013 GC Jobs\GC-13123 Kaiser Casting Soil Nails and Micropiles
GC-13183 Wendland Residence,R:\Engineering\GC Projects\2013 GC Jobs\GC-13183 Wendland Residence
GC-13234 Fuller Pine Bay Rd Cabin,R:\Engineering\GC Projects\2013 GC Jobs\GC-13234 Fuller Pine Bay Rd Cabin
GC-13251 Colbert Monitoring Wells,R:\Engineering\GC Projects\2013 GC Jobs\GC-13251 Colbert Monitoring Wells
GC-13328 Kaiser soil nail wall,R:\Engineering\GC Projects\2013 GC Jobs\GC-13328 Kaiser soil nail wall
GC-13399 Robar residence,R:\Engineering\GC Projects\2013 GC Jobs\GC-13399 Robar residence
GC-13407 Kaiser Casting Pit Guide Piles,R:\Engineering\GC Projects\2013 GC Jobs\GC-13407 Kaiser Casting Pit Guide Piles
GC-13409 Leavenworth,R:\Engineering\GC Projects\2013 GC Jobs\GC-13409 Leavenworth
GC13071 Batch Plant Expansion,R:\Engineering\GC Projects\2013 GC Jobs\GC13071 Batch Plant Expansion
GC13179 Barnard Griffin Residence,R:\Engineering\GC Projects\2013 GC Jobs\GC13179 Barnard Griffin Residence
GC13239 SJS Land Company,R:\Engineering\GC Projects\2013 GC Jobs\GC13239 SJS Land Company
GC13245 Grand Coulee Third Power Plant Transformer Containment Columbia Basin Project,R:\Engineering\GC Projects\2013 GC Jobs\GC13245 Grand Coulee Third Power Plant Transformer Containment Columbia Basin Project
GC13249 Driftwood,R:\Engineering\GC Projects\2013 GC Jobs\GC13249 Driftwood
"GC13387 Sunshine Health Boarding Facility, Geothermal System Installation","R:\Engineering\GC Projects\2013 GC Jobs\GC13387 Sunshine Health Boarding Facility, Geothermal System Installation"
GC13393 Youth Riding Area Development,R:\Engineering\GC Projects\2013 GC Jobs\GC13393 Youth Riding Area Development
GC13428 Spokane Convention Center,R:\Engineering\GC Projects\2013 GC Jobs\GC13428 Spokane Convention Center
GC13437 California Creek Fish Passage,R:\Engineering\GC Projects\2013 GC Jobs\GC13437 California Creek Fish Passage
GC13439 Wahluke Slope,R:\Engineering\GC Projects\2013 GC Jobs\GC13439 Wahluke Slope
GC13448 1002 E Chatham Court garage stabilization,R:\Engineering\GC Projects\2013 GC Jobs\GC13448 1002 E Chatham Court garage stabilization
GC13457 Omak Mtn Verizon Cell Tower,R:\Engineering\GC Projects\2013 GC Jobs\GC13457 Omak Mtn Verizon Cell Tower
GC13494 Bradley Geothermal System,R:\Engineering\GC Projects\2013 GC Jobs\GC13494 Bradley Geothermal System
GC13505 Spokane Seed Micropiles,R:\Engineering\GC Projects\2013 GC Jobs\GC13505 Spokane Seed Micropiles
GC13516 CRP 601 Franklin County Road Safety Program Phase III,R:\Engineering\GC Projects\2013 GC Jobs\GC13516 CRP 601 Franklin County Road Safety Program Phase III
GC13524 Worthy Hotel Avista Vaults,R:\Engineering\GC Projects\2013 GC Jobs\GC13524 Worthy Hotel Avista Vaults
GC13533 Kamiak Butte Monopole,R:\Engineering\GC Projects\2013 GC Jobs\GC13533 Kamiak Butte Monopole
GC13546 Little Falls,R:\Engineering\GC Projects\2013 GC Jobs\GC13546 Little Falls
GC13553 Liberty Lake Portal,R:\Engineering\GC Projects\2013 GC Jobs\GC13553 Liberty Lake Portal
GC13565 DeJong residence,R:\Engineering\GC Projects\2013 GC Jobs\GC13565 DeJong residence
GC13581,R:\Engineering\GC Projects\2013 GC Jobs\GC13581
GC13588 Underhill CSO 34-2,R:\Engineering\GC Projects\2013 GC Jobs\GC13588 Underhill CSO 34-2
"GC14011 Basement Addition, Liberty Lake Portal","R:\Engineering\GC Projects\2013 GC Jobs\GC14011 Basement Addition, Liberty Lake Portal"
GC-13261 Cle Elum Safeway,R:\Engineering\GC Projects\2013 GC Jobs\2013 GC proposals - jobs not awarded\GC-13261 Cle Elum Safeway
GC13200 Libby Water Improvements,R:\Engineering\GC Projects\2013 GC Jobs\2013 GC proposals - jobs not awarded\GC13200 Libby Water Improvements
GC13439 Wahluke Slope,R:\Engineering\GC Projects\2013 GC Jobs\GC13439 Wahluke Slope\GC13439 Wahluke Slope
GC Proposals,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals
GC-14027 Moses Lake High School Pool Building,R:\Engineering\GC Projects\2014 GC Jobs\GC-14027 Moses Lake High School Pool Building
GC-14029 Post Falls South Channel Dam High Mobility Grouting,R:\Engineering\GC Projects\2014 GC Jobs\GC-14029 Post Falls South Channel Dam High Mobility Grouting
GC-14063 Columbia Grain tower improvements Port of Wilma,R:\Engineering\GC Projects\2014 GC Jobs\GC-14063 Columbia Grain tower improvements Port of Wilma
GC-14070 Hillyard Monopole micropiles,R:\Engineering\GC Projects\2014 GC Jobs\GC-14070 Hillyard Monopole micropiles
GC-14087 11721 Honeymoon Bay Road,R:\Engineering\GC Projects\2014 GC Jobs\GC-14087 11721 Honeymoon Bay Road
GC-14187 11212 Waikiki Road,R:\Engineering\GC Projects\2014 GC Jobs\GC-14187 11212 Waikiki Road
GC-14189 Clearwater Paper Chlorine Building,R:\Engineering\GC Projects\2014 GC Jobs\GC-14189 Clearwater Paper Chlorine Building
GC-14317 Butte WWTP,R:\Engineering\GC Projects\2014 GC Jobs\GC-14317 Butte WWTP
GC-14395 Long Lake and Little Falls Grout Project,R:\Engineering\GC Projects\2014 GC Jobs\GC-14395 Long Lake and Little Falls Grout Project
GC-14413 Garibay Residence,R:\Engineering\GC Projects\2014 GC Jobs\GC-14413 Garibay Residence
GC14061 Wanderemere Residence,R:\Engineering\GC Projects\2014 GC Jobs\GC14061 Wanderemere Residence
GC14081 Idaho State Veterans Home,R:\Engineering\GC Projects\2014 GC Jobs\GC14081 Idaho State Veterans Home
GC14104 Vantage Boat Launch Repair,R:\Engineering\GC Projects\2014 GC Jobs\GC14104 Vantage Boat Launch Repair
GC14105 White Bluff Drive,R:\Engineering\GC Projects\2014 GC Jobs\GC14105 White Bluff Drive
GC14120 Bissell Cabin,R:\Engineering\GC Projects\2014 GC Jobs\GC14120 Bissell Cabin
GC14268 Purina (see also S14268),R:\Engineering\GC Projects\2014 GC Jobs\GC14268 Purina (see also S14268)
GC14271 Hughes Pool,R:\Engineering\GC Projects\2014 GC Jobs\GC14271 Hughes Pool
GC14427 Wapatox Burec Project,R:\Engineering\GC Projects\2014 GC Jobs\GC14427 Wapatox Burec Project
GC14481 121 Canyon Rim Court,R:\Engineering\GC Projects\2014 GC Jobs\GC14481 121 Canyon Rim Court
GC14532 Port Angeles Micropiles,R:\Engineering\GC Projects\2014 GC Jobs\GC14532 Port Angeles Micropiles
GC Invoices,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices
GC-13018  Moxee and Ellensburg Petroleum Disposal,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC-13018  Moxee and Ellensburg Petroleum Disposal
GC-13089 Frenchys Hollow Mine Closure,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC-13089 Frenchys Hollow Mine Closure
GC14357 SW Ventilation & Capacity Improvement Odor Control,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC14357 SW Ventilation & Capacity Improvement Odor Control
GC05152 Blackwell Island RV Park Laundry & Shop Buildings,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2005 GC Invoices\GC05152 Blackwell Island RV Park Laundry & Shop Buildings
GC06081 Denny's Restaurant,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06081 Denny's Restaurant
GC06254 13711 North Rustic Lane Rockery Repair,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06254 13711 North Rustic Lane Rockery Repair
GC06354 Jannusch SFR Underpinning,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06354 Jannusch SFR Underpinning
GC06357 Triumph Facility,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06357 Triumph Facility
GC06382 Clear Lake Dam,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06382 Clear Lake Dam
GC06429 WSU Nursing,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2006 GC Invoices\GC06429 WSU Nursing
GC07067 Drainage Swale Rehabilitation,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07067 Drainage Swale Rehabilitation
GC07068 Tankerserly Residence,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07068 Tankerserly Residence
GC07112 FAFB Water Survival Jib Crane,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07112 FAFB Water Survival Jib Crane
GC07193 Budinger Building,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07193 Budinger Building
GC07326 Restablish Budinger,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07326 Restablish Budinger
GC07349 National Storage,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2007 GC Invoices\GC07349 National Storage
GC08003 8-Unit Condos,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2008 GC Invoices\GC08003 8-Unit Condos
GC08195 Upper Wheeler Reservoir Northern Saddle Dam Repairs,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2008 GC Invoices\GC08195 Upper Wheeler Reservoir Northern Saddle Dam Repairs
GC08272 McHenry Residence,R:\Engineering\GC Projects\2014 GC Jobs\GC Proposals\GC Invoices\2008 GC Invoices\GC08272 McHenry Residence
GC14029 Grout Logs,R:\Engineering\GC Projects\2014 GC Jobs\GC-14029 Post Falls South Channel Dam High Mobility Grouting\Tunnel Grout Information and Grout Logs\GC14029 Grout Logs
